frequency,power
0.50,0.013779840120636587
0.60,0.028785236531707777
0.70,0.042509803406828056
0.80,0.046603402018329326
0.90,0.04400812840034867
1.00,0.04549795870211239
1.10,0.05354593796960634
1.20,0.059490893157638745
1.30,0.05920476743322632
1.40,0.058519649818991416
1.50,0.06548846919374371
1.60,0.08139781756494627
1.70,0.0951792278146569
1.80,0.09330023096880298
1.90,0.08596860892708731
2.00,0.0883796181378936
2.10,0.09143543071652081
2.20,0.08762711292345503
2.30,0.08381035484143191
2.40,0.08252167608150768
2.50,0.08848945069266577
2.60,0.09854135225204554
2.70,0.10438438705926635
2.80,0.10161873951116077
2.90,0.09458859796758022
3.00,0.09050336446832602
3.10,0.08583592502968224
3.20,0.07906708776570351
3.30,0.07589955519403654
3.40,0.07659120339921592
3.50,0.0856597652898566
3.60,0.10378040040007484
3.70,0.11322403433571299
3.80,0.11499504305824353
3.90,0.12528268744937635
4.00,0.13940185875257155
4.10,0.15742247127761302
4.20,0.16919069962154173
4.30,0.16059432400114876
4.40,0.13651979459843844
4.50,0.12101349583574635
4.60,0.1125082684634274
4.70,0.1157462949636435
4.80,0.13079981620067915
4.90,0.1314561042068907
5.00,0.1112753825889149
5.10,0.09309296674012674
5.20,0.09008784226816746
5.30,0.09400423522242084
5.40,0.09473327222204385
5.50,0.08889289568879322
5.60,0.08680631981902352
5.70,0.0899955006080882
5.80,0.10189504753022828
5.90,0.13203921333473995
6.00,0.15547708024905543
6.10,0.14543190261768077
6.20,0.13389706035461574
6.30,0.14422046218688933
6.40,0.15103915045810098
6.50,0.1480222967906875
6.60,0.15127564127216148
6.70,0.15694017359181892
6.80,0.1536585456573948
6.90,0.14173382686328317
7.00,0.11886273211400007
7.10,0.0980483307180676
7.20,0.09361728857105531
7.30,0.09543513627685364
7.40,0.0824366621512392
7.50,0.05698399749694186
7.60,0.04365071342383018
7.70,0.048594136099820225
7.80,0.05486401062256379
7.90,0.05291844481673169
8.00,0.04650710352077623
8.10,0.043992342066231004
8.20,0.044249822425992236
8.30,0.043777202523141684
8.40,0.04192081897102272
8.50,0.040333292152920794
8.60,0.03961552569506061
8.70,0.03722059963677125
8.80,0.0367049822049897
8.90,0.03744436083464635
9.00,0.03588026812410524
9.10,0.035728296863683076
9.20,0.041090222780086776
9.30,0.049248269616953375
9.40,0.050027048751989996
9.50,0.04148728789455633
9.60,0.03259611659839792
9.70,0.0309903302245619
9.80,0.03147322925163217
9.90,0.02725258515670872
10.00,0.023375618180937904
10.10,0.025073741047412737
10.20,0.030238408755724772
10.30,0.032268726732093744
10.40,0.031158460700644375
10.50,0.029164460205572045
10.60,0.0260300514534283
10.70,0.02640691706245677
10.80,0.02898042871498597
10.90,0.028068061577509
11.00,0.023288623130023486
11.10,0.020517123590444216
11.20,0.023661041638341443
11.30,0.02737836441196218
11.40,0.02785845155962444
11.50,0.029644593974171792
11.60,0.03763574265270829
11.70,0.04631671082032009
11.80,0.043780306207579577
11.90,0.03322628743213845
12.00,0.02589945175670536
12.10,0.02573621044577241
12.20,0.028835876332737095
12.30,0.028415252216503283
12.40,0.02411725523290691
12.50,0.022297088429799345
12.60,0.02277503809047412
12.70,0.022320449526673773
12.80,0.022340541939523176
12.90,0.02046031111764846
13.00,0.017267929807887387
13.10,0.015615022371464608
13.20,0.01444019758306209
13.30,0.013120346899294219
13.40,0.011774715041173176
13.50,0.011751139340088694
13.60,0.01444709274065179
13.70,0.01747819276192313
13.80,0.017248036446259996
13.90,0.014976579715776874
14.00,0.013547109325635047
14.10,0.014569406623842134
14.20,0.017171237473125454
14.30,0.017231838102942265
14.40,0.013983645213936646
14.50,0.010802707329402523
14.60,0.0103285300445733
14.70,0.01227105293425555
14.80,0.013463064829684995
14.90,0.011716912715000478
15.00,0.009264906301743857
15.10,0.00850216863557943
15.20,0.008669638817756916
15.30,0.007909423097422734
15.40,0.006706215785507198
15.50,0.006780351352727915
15.60,0.008165372030502114
15.70,0.00956374790291854
15.80,0.010752224027382736
15.90,0.012314761374598639
16.00,0.013051835879475098
16.10,0.012895907058121065
16.20,0.01222634529836311
16.30,0.011976675056199816
16.40,0.012864783564577141
16.50,0.01299221102633807
16.60,0.011475561685813002
16.70,0.010402136165910002
16.80,0.010315534473743495
16.90,0.00973223815786467
17.00,0.009185311386403494
17.10,0.009033149659163995
17.20,0.009075727096904957
17.30,0.009582375856235696
17.40,0.009873003056254695
17.50,0.008687006505828545
17.60,0.006997436812900627
17.70,0.0062612688144907695
17.80,0.006863058569809042
17.90,0.00836274883387544
18.00,0.00988898774005666
18.10,0.009898936628240415
18.20,0.008391198807873694
18.30,0.007586194941943375
18.40,0.007996810819286139
18.50,0.008421707193658992
18.60,0.008512723165801997
18.70,0.00875809516319271
18.80,0.008921488304233501
18.90,0.008434601668570935
19.00,0.007117065239283854
19.10,0.005856770196144207
19.20,0.005026020311961373
19.30,0.004990641721876065
19.40,0.0056181583837114305
19.50,0.00616621954115227
19.60,0.006529003825266059
19.70,0.006869324652357133
19.80,0.006839117247597565
19.90,0.006292403351831814
20.00,0.006070667804791622
20.10,0.006464369183844319
20.20,0.006701877144003527
20.30,0.006337986391076663
20.40,0.005940622597143486
20.50,0.005748032862295451
20.60,0.005775857892048105
20.70,0.005328344059533982
20.80,0.004375664578559835
20.90,0.0037971924131004653
21.00,0.0039558037906494686
21.10,0.00421822018941039
21.20,0.004382087198472665
21.30,0.004757448720597928
21.40,0.005199512683455987
21.50,0.004898688710417534
21.60,0.00413991197048095
21.70,0.004295990362247833
21.80,0.004950974068603844
21.90,0.004819278542302295
22.00,0.0041681929072908235
22.10,0.004053266767706753
22.20,0.004520144994697548
22.30,0.004776586930126595
22.40,0.0045337901384464
22.50,0.004297550208092002
22.60,0.005023636487529124
22.70,0.006567485074645149
22.80,0.007061042283755358
22.90,0.005879356945731785
23.00,0.004747418282639913
23.10,0.004463815015257846
23.20,0.004280360636698437
23.30,0.004150682290563891
23.40,0.0044613090380814235
23.50,0.004699053550919267
23.60,0.004571861354049599
23.70,0.004164838025672586
23.80,0.003673535174476746
23.90,0.003900936006702548
24.00,0.004653443774496985
24.10,0.004738628416470198
24.20,0.004538130865619071
24.30,0.004987609555838708
24.40,0.005377575979134922
24.50,0.004916224068893557
24.60,0.004002745484374471
24.70,0.003561271939950082
24.80,0.003561016971564851
24.90,0.0033486759994686877
25.00,0.0030151813334661445
25.10,0.0030379295900437304
25.20,0.003098063714408751
25.30,0.0028243819541484525
25.40,0.0026415368854743556
25.50,0.0027582294027919097
25.60,0.002610957918026218
25.70,0.0022952113688307864
25.80,0.0024822667836742196
25.90,0.002834591560988997
26.00,0.002769517587786037
26.10,0.0026890613324288535
26.20,0.0026471605062949265
26.30,0.002238369827001874
26.40,0.0017012979713521396
26.50,0.0015578938337205207
26.60,0.0019629373759418992
26.70,0.002476139344484824
26.80,0.0025610455240076963
26.90,0.002289708072949568
27.00,0.0020371613639641175
27.10,0.0018156893920253541
27.20,0.0015979533051034027
27.30,0.0014367738300033967
27.40,0.0012753196186751415
27.50,0.0012694194717633306
27.60,0.0015918603253682782
27.70,0.0019963432370205883
27.80,0.001992457555027455
27.90,0.001589300461209821
28.00,0.0012519399943565937
28.10,0.001251010850531315
28.20,0.0015444310089334006
28.30,0.0018112528066420762
28.40,0.0016203107286018267
28.50,0.0011955310877836969
28.60,0.0009972388925092847
